## Elder Audio Signal Types (Level 2: Domain-Specific)

| ID    | Type Name              | Description                                           | Domain ID | Parent Type |
|-------|------------------------|-------------------------------------------------------|-----------|-------------|
| 0x0201 | MusicTonality         | Key and mode estimation                               | 3         | 0x06        |
| 0x0202 | MusicHarmony          | Chord sequence detection                              | 3         | 0x06        |
| 0x0203 | MusicMelody           | Melodic contour extraction                            | 3         | 0x0A        |
| 0x0204 | MusicStructure        | Sectional song structure                              | 3         | 0x15        |
| 0x0205 | MusicGenre            | Musical style classification                          | 3         | 0x14        |
| 0x0206 | MusicMood             | Emotional content estimation                          | 3         | 0x14        |
| 0x0207 | MusicTempo            | Beat per minute measurement                           | 3         | 0x08        |
| 0x0208 | MusicRhythm           | Rhythmic pattern detection                            | 3         | 0x08        |
| 0x0301 | SpeechPhoneme         | Phonetic unit detection                               | 4         | 0x05        |
| 0x0302 | SpeechProsody         | Intonation patterns                                   | 4         | 0x0A        |
| 0x0303 | SpeechSpeaker         | Speaker identification features                       | 4         | 0x14        |
| 0x0304 | SpeechEmotion         | Emotional state detection                             | 4         | 0x14        |
| 0x0305 | SpeechSyllable        | Syllable segmentation                                 | 4         | 0x07        |
| 0x0306 | SpeechWord            | Word boundary detection                               | 4         | 0x07        |
| 0x0307 | SpeechPhrasing        | Phrase structure                                      | 4         | 0x14        |
| 0x0401 | EnvironmentalEvent    | Acoustic event detection                              | 5         | 0x07        |
| 0x0402 | EnvironmentalContext  | Acoustic scene classification                         | 5         | 0x14        |
| 0x0403 | EnvironmentalAcoustics| Reverb and spatial characteristics                    | 5         | 0x10        |
| 0x0501 | BiosignalRespiration  | Breathing pattern detection                           | 6         | 0x07        |
| 0x0502 | BiosignalHeartbeat    | Cardiac rhythm detection                              | 6         | 0x07        |
| 0x0503 | BiosignalAnomalies    | Unusual acoustic biosignal patterns                   | 6         | 0x14        |
